Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
1,2:00:35,Kelvin Kiptum,KEN,02.12.99,1,Chicago,08.10.2023,Men,Marathon
2,2:01:09,Eliud Kipchoge,KEN,05.11.84,1,Berlin,25.09.2022,Men,Marathon
3,2:01:25,Kelvin Kiptum,KEN,02.12.99,1,London,23.04.2023,Men,Marathon
4,2:01:39,Eliud Kipchoge,KEN,05.11.84,1,Berlin,16.09.2018,Men,Marathon
5,2:01:41,Kenenisa Bekele,ETH,13.06.82,1,Berlin,29.09.2019,Men,Marathon
6,2:01:48,Sisay Lemma,ETH,12.12.90,1,Valencia,03.12.2023,Men,Marathon
7,2:01:53,Kelvin Kiptum,KEN,02.12.99,1,Valencia,04.12.2022,Men,Marathon
8,2:02:37,Eliud Kipchoge,KEN,05.11.84,1,London,28.04.2019,Men,Marathon
9,2:02:40,Eliud Kipchoge,KEN,05.11.84,1,Tokyo,06.03.2022,Men,Marathon
10,2:02:42,Eliud Kipchoge,KEN,05.11.84,1,Berlin,24.09.2023,Men,Marathon
11,2:02:48,Birhanu Legesse,ETH,09.11.94,2,Berlin,29.09.2019,Men,Marathon
12,2:02:55,Mosinet Geremew,ETH,12.02.92,2,London,28.04.2019,Men,Marathon
13,2:02:57,Dennis Kimetto,KEN,22.04.84,1,Berlin,28.09.2014,Men,Marathon
13,2:02:57,Titus Ekiru,KEN,02.01.92,1,Milano,16.05.2021,Men,Marathon
15,2:03:00,Evans Chebet,KEN,05.03.88,1,Valencia,06.12.2020,Men,Marathon
15,2:03:00,Gabriel Gerald Geay,TAN,10.09.96,2,Valencia,04.12.2022,Men,Marathon
17,2:03:02,Geoffrey Mutai,KEN,07.10.81,1,Boston,18.04.2011,Men,Marathon
18,2:03:03,Kenenisa Bekele,ETH,13.06.82,1,Berlin,25.09.2016,Men,Marathon
19,2:03:04,Lawrence Cherono,KEN,07.08.88,2,Valencia,06.12.2020,Men,Marathon
20,2:03:05,Eliud Kipchoge,KEN,05.11.84,1,London,24.04.2016,Men,Marathon
21,2:03:06,Moses Mosop,KEN,17.07.85,2,Boston,18.04.2011,Men,Marathon
22,2:03:11,Alexander Mutiso,KEN,10.09.96,2,Valencia,03.12.2023,Men,Marathon
23,2:03:13,Emmanuel Mutai,KEN,12.10.84,2,Berlin,28.09.2014,Men,Marathon
23,2:03:13,Wilson Kipsang Kiprotich,KEN,15.03.82,2,Berlin,25.09.2016,Men,Marathon
23,2:03:13,Amos Kipruto,KEN,16.09.92,2,Tokyo,06.03.2022,Men,Marathon
23,2:03:13,Vincent Kipkemoi,KEN,03.01.99,2,Berlin,24.09.2023,Men,Marathon
27,2:03:16,Mule Wasihun,ETH,20.10.93,3,London,28.04.2019,Men,Marathon
27,2:03:16,Birhanu Legesse,ETH,09.11.94,3,Valencia,06.12.2020,Men,Marathon
29,2:03:23,Wilson Kipsang Kiprotich,KEN,15.03.82,1,Berlin,29.09.2013,Men,Marathon
30,2:03:24,Tadese Takele,ETH,03.08.02,3,Berlin,24.09.2023,Men,Marathon
31,2:03:29,Alexander Mutiso,KEN,10.09.96,3,Valencia,04.12.2022,Men,Marathon
32,2:03:30,Amos Kipruto,KEN,16.09.92,4,Valencia,06.12.2020,Men,Marathon
33,2:03:32,Eliud Kipchoge,KEN,05.11.84,1,Berlin,24.09.2017,Men,Marathon
34,2:03:34,Getaneh Molla,ETH,10.01.94,1,Dubai,25.01.2019,Men,Marathon
35,2:03:36,Sisay Lemma,ETH,12.12.90,3,Berlin,29.09.2019,Men,Marathon
35,2:03:36,Abdi Bashir,BEL,02.10.89,1,Rotterdam,24.10.2021,Men,Marathon
37,2:03:38,Patrick Makau,KEN,02.03.85,1,Berlin,25.09.2011,Men,Marathon
38,2:03:39,Tamirat Tola,ETH,11.08.91,1,Amsterdam,17.10.2021,Men,Marathon
39,2:03:40,Herpasa Negasa,ETH,11.09.93,2,Dubai,25.01.2019,Men,Marathon
39,2:03:40,Tamirat Tola,ETH,11.08.91,4,Valencia,04.12.2022,Men,Marathon
41,2:03:42,Wilson Kipsang Kiprotich,KEN,15.03.82,1,Frankfurt,30.10.2011,Men,Marathon
42,2:03:45,Dennis Kimetto,KEN,22.04.84,1,Chicago,13.10.2013,Men,Marathon
43,2:03:46,Guye Adola,ETH,20.10.90,2,Berlin,24.09.2017,Men,Marathon
